,Year,Month,Extent_avg
190,1994,08,7.639290322580646
191,1994,09,7.137599999999998
192,1994,10,8.915290322580644
193,1994,11,11.123199999999999
194,1994,12,13.271870967741936
195,1995,01,14.586387096774196
196,1995,02,15.22567857142857
197,1995,03,15.260161290322579
198,1995,04,14.4486
199,1995,05,12.97206451612903
200,1995,06,11.440433333333333
201,1995,07,8.98709677419355
202,1995,08,6.744354838709676
203,1995,09,6.080133333333333
204,1995,10,7.828935483870969
205,1995,11,10.760866666666667
206,1995,12,12.920838709677422
207,1996,01,14.180870967741935
208,1996,02,15.154827586206897
209,1996,03,15.122806451612904
210,1996,04,14.215866666666667
211,1996,05,13.094548387096772
212,1996,06,12.083833333333335
213,1996,07,10.164258064516126
214,1996,08,8.180451612903228
215,1996,09,7.582533333333334
216,1996,10,9.160967741935485
217,1996,11,10.4017
218,1996,12,12.861258064516127
219,1997,01,14.41748387096774
220,1997,02,15.436714285714286
221,1997,03,15.467516129032258
222,1997,04,14.56303333333333
223,1997,05,13.17716129032258
224,1997,06,11.738366666666666
225,1997,07,9.410838709677419
226,1997,08,7.285032258064518
227,1997,09,6.686333333333333
228,1997,10,8.336548387096776
229,1997,11,10.68416666666667
230,1997,12,13.076193548387094
231,1998,01,14.720516129032257
232,1998,02,15.745821428571428
233,1998,03,15.598096774193545
234,1998,04,14.891933333333334
235,1998,05,13.589838709677416
236,1998,06,11.7057
237,1998,07,9.415161290322581
238,1998,08,7.5088709677419345
239,1998,09,6.536033333333335
240,1998,10,8.451870967741934
241,1998,11,10.440599999999996
242,1998,12,12.75864516129032
243,1999,01,14.359387096774194
244,1999,02,15.308928571428575
245,1999,03,15.397677419354839
246,1999,04,15.0839
247,1999,05,13.750967741935485
248,1999,06,11.779166666666667
249,1999,07,9.488290322580644
250,1999,08,7.225580645161292
251,1999,09,6.116866666666667
252,1999,10,8.602806451612905
253,1999,11,10.796466666666667
254,1999,12,12.641193548387099
255,2000,01,14.220354838709682
256,2000,02,15.141482758620691
257,2000,03,15.224838709677421
258,2000,04,14.558166666666665
259,2000,05,13.15267741935484
260,2000,06,11.665233333333337
261,2000,07,9.512999999999998
262,2000,08,7.168322580645162
263,2000,09,6.246066666666667
264,2000,10,8.37941935483871
265,2000,11,10.3211
266,2000,12,12.637258064516129
267,2001,01,14.202612903225805
268,2001,02,15.211142857142859
269,2001,03,15.51632258064516
270,2001,04,14.856833333333332
271,2001,05,13.509612903225808
272,2001,06,11.455933333333332
273,2001,07,9.070354838709674
274,2001,08,7.4608064516129025
275,2001,09,6.732166666666667
276,2001,10,8.298290322580646
277,2001,11,10.657833333333333
278,2001,12,12.490741935483873
279,2002,01,14.272612903225806
280,2002,02,15.342357142857145
281,2002,03,15.348903225806449
282,2002,04,14.299433333333335
283,2002,05,12.970612903225806
284,2002,06,11.583400000000001
285,2002,07,9.274161290322581
286,2002,08,6.599
287,2002,09,5.827133333333334
288,2002,10,8.161903225806451
289,2002,11,10.341866666666668
290,2002,12,12.608451612903226
291,2003,01,14.39083870967742
292,2003,02,15.193142857142858
293,2003,03,15.48490322580645
294,2003,04,14.512066666666662
295,2003,05,13.016064516129033
296,2003,06,11.604033333333332
297,2003,07,9.21477419354839
298,2003,08,6.935870967741936
299,2003,09,6.1160999999999985
300,2003,10,7.848290322580646
301,2003,11,10.125333333333336
302,2003,12,12.588354838709677
303,2004,01,14.026419354838708
304,2004,02,14.914379310344827
305,2004,03,14.99258064516129
306,2004,04,13.987333333333332
307,2004,05,12.558419354838708
308,2004,06,11.447066666666668
309,2004,07,9.431354838709677
310,2004,08,6.854838709677417
311,2004,09,5.984499999999999
312,2004,10,7.925290322580645
313,2004,11,10.343266666666668
314,2004,12,12.55358064516129
315,2005,01,13.661451612903228
316,2005,02,14.372857142857141
317,2005,03,14.686612903225809
318,2005,04,14.089833333333337
319,2005,05,12.911096774193547
320,2005,06,11.162033333333333
321,2005,07,8.648741935483871
322,2005,08,6.301129032258063
323,2005,09,5.503766666666667
324,2005,10,7.351967741935484
325,2005,11,10.216333333333331
326,2005,12,12.227612903225808
327,2006,01,13.46558064516129
328,2006,02,14.324964285714282
329,2006,03,14.420967741935483
330,2006,04,13.905866666666666
331,2006,05,12.517354838709673
332,2006,06,10.919499999999998
333,2006,07,8.459838709677417
334,2006,08,6.4956129032258065
335,2006,09,5.862433333333333
336,2006,10,7.541096774193549
337,2006,11,9.658733333333336
338,2006,12,11.954677419354839
339,2007,01,13.703032258064516
340,2007,02,14.513249999999998
341,2007,03,14.54209677419355
342,2007,04,13.8452
343,2007,05,12.779677419354842
344,2007,06,11.22006666666667
345,2007,07,7.94283870967742
346,2007,08,5.3423225806451615
347,2007,09,4.267266666666667
348,2007,10,6.039709677419355
349,2007,11,9.760166666666665
350,2007,12,12.033967741935486
351,2008,01,13.887258064516129
352,2008,02,14.953448275862069
353,2008,03,15.178903225806451
354,2008,04,14.351933333333337
355,2008,05,12.973999999999998
356,2008,06,11.208333333333337
357,2008,07,8.677935483870966
358,2008,08,5.913064516129031
359,2008,09,4.687433333333335
360,2008,10,7.349870967741936
361,2008,11,10.342866666666668
